Nº Neuronas,Epochs,η,μ,Accuracy E,Accuracy V,Loss E,Loss V,Nº lirios bien clasificados,Numero de capas
10,100,0.01,0.0,0.96875,0.9166666865348816,0.10047797113656998,0.33010444045066833,29,5
10,100,0.01,0.2,0.3541666567325592,0.4583333432674408,3.1087589263916016,2.2572548389434814,11,5
10,100,0.01,0.9,0.9791666865348816,0.9166666865348816,0.07747235149145126,0.18931680917739868,29,5
10,100,0.05,0.0,0.71875,0.5833333134651184,0.9016104340553284,1.6296108961105347,21,5
10,100,0.05,0.2,0.9270833134651184,0.9583333134651184,0.19555813074111938,0.15008670091629028,26,5
10,100,0.05,0.9,0.3541666567325592,0.2083333283662796,1.0975674390792847,1.108138084411621,11,5
15,100,0.01,0.0,0.9375,0.8333333134651184,0.15455366671085358,0.5026169419288635,26,5
15,100,0.01,0.2,0.78125,0.6666666865348816,0.37623417377471924,0.4238801896572113,24,5
15,100,0.01,0.9,0.9583333134651184,0.875,0.0763215497136116,0.49979302287101746,29,5
15,100,0.05,0.0,0.6875,0.5416666865348816,0.4631594121456146,0.48751893639564514,21,5
15,100,0.05,0.2,0.96875,0.9583333134651184,0.10310652107000351,0.11171730607748032,29,5
15,100,0.05,0.9,0.3541666567325592,0.2083333283662796,1.0978493690490723,1.123038411140442,11,5
20,100,0.01,0.0,0.9895833134651184,0.875,0.07317090034484863,0.27084651589393616,29,5
20,100,0.01,0.2,1.0,0.9166666865348816,0.033528704196214676,0.21565748751163483,29,5
20,100,0.01,0.9,0.9895833134651184,0.9166666865348816,0.0251499991863966,0.3215979039669037,29,5
20,100,0.05,0.0,0.9583333134651184,0.9583333134651184,0.08497510105371475,0.11747429519891739,27,5
20,100,0.05,0.2,0.8333333134651184,0.7083333134651184,0.3641144931316376,0.48226460814476013,24,5
20,100,0.05,0.9,0.3125,0.4583333432674408,1.1003323793411255,1.0930055379867554,9,5
10,100,0.01,0.0,0.9166666865348816,0.8333333134651184,0.2474728673696518,0.38321903347969055,25,7
10,100,0.01,0.2,0.6875,0.5,0.5417031645774841,0.805246114730835,21,7
10,100,0.01,0.9,0.8020833134651184,0.875,0.3243216276168823,0.2501409947872162,26,7
10,100,0.05,0.0,0.9375,0.8333333134651184,0.1764446645975113,0.6662390232086182,25,7
10,100,0.05,0.2,0.8645833134651184,0.7916666865348816,0.2580980956554413,0.45176056027412415,24,7
10,100,0.05,0.9,0.6875,0.5416666865348816,0.46314573287963867,0.4704468250274658,21,7
15,100,0.01,0.0,0.9895833134651184,0.9166666865348816,0.07989954948425293,0.21891820430755615,30,7
15,100,0.01,0.2,0.71875,0.5833333134651184,0.4071500301361084,0.46090999245643616,21,7
15,100,0.01,0.9,0.96875,0.9583333134651184,0.11750456690788269,0.11908812075853348,28,7
15,100,0.05,0.0,1.0,0.9583333134651184,0.07213344424962997,0.15280012786388397,30,7
15,100,0.05,0.2,0.6458333134651184,0.7916666865348816,0.5901459455490112,0.48114171624183655,19,7
15,100,0.05,0.9,0.6875,0.5416666865348816,0.462756872177124,0.48028454184532166,21,7
20,100,0.01,0.0,0.8854166865348816,0.9166666865348816,0.29952117800712585,0.258993923664093,25,7
20,100,0.01,0.2,0.9270833134651184,0.75,0.26451319456100464,0.3588465750217438,25,7
20,100,0.01,0.9,1.0,0.9166666865348816,0.08806431293487549,0.37058305740356445,29,7
20,100,0.05,0.0,0.6875,0.5416666865348816,0.951025664806366,0.9832708239555359,21,7
20,100,0.05,0.2,0.9583333134651184,0.875,0.10336935520172119,0.5694041848182678,29,7
20,100,0.05,0.9,0.3541666567325592,0.2083333283662796,1.0978397130966187,1.1099919080734253,11,7
10,100,0.01,0.0,0.9583333134651184,0.8333333134651184,0.2483464479446411,0.3487597405910492,27,10
10,100,0.01,0.2,0.6875,0.5416666865348816,1.0002797842025757,1.0561631917953491,21,10
10,100,0.01,0.9,0.96875,0.9583333134651184,0.11014285683631897,0.13134130835533142,29,10
10,100,0.05,0.0,0.3541666567325592,0.2083333283662796,1.0963969230651855,1.1096419095993042,11,10
10,100,0.05,0.2,0.6145833134651184,0.75,0.4747624099254608,0.38800671696662903,19,10
10,100,0.05,0.9,0.3541666567325592,0.2083333283662796,1.098490595817566,1.133902907371521,11,10
15,100,0.01,0.0,0.8333333134651184,0.75,0.3936871588230133,0.42968693375587463,24,10
15,100,0.01,0.2,0.96875,0.9166666865348816,0.3600102961063385,0.39059093594551086,30,10
15,100,0.01,0.9,0.9166666865348816,0.8333333134651184,0.20599019527435303,0.7784329056739807,25,10
15,100,0.05,0.0,0.9375,0.875,0.13958850502967834,0.30923351645469666,29,10
15,100,0.05,0.2,0.6875,0.5,0.80973219871521,1.2342352867126465,21,10
15,100,0.05,0.9,0.3333333432674408,0.3333333432674408,1.0986560583114624,1.0985527038574219,10,10
20,100,0.01,0.0,0.7395833134651184,0.5833333134651184,0.4903920888900757,0.5299050807952881,22,10
20,100,0.01,0.2,0.9166666865348816,0.8333333134651184,0.1905023455619812,0.4349935054779053,25,10
20,100,0.01,0.9,0.9895833134651184,0.9166666865348816,0.05947136878967285,0.19439291954040527,30,10
20,100,0.05,0.0,0.6458333134651184,0.7916666865348816,0.7306376099586487,0.4810478687286377,19,10
20,100,0.05,0.2,0.6875,0.5416666865348816,0.46594002842903137,0.5159799456596375,21,10
20,100,0.05,0.9,0.3541666567325592,0.2083333283662796,1.0978689193725586,1.1045054197311401,11,10
